Disease,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Physical Activity Levels,Dietary Habits,Age Group,Occupation and Lifestyle,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Herbal Tea(Recommended),Doshas,Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Complications,Recovery & Maintenance Tips,Cluster_HC,Cluster_GMM
Endometriosis,"Pelvic pain, heavy periods, pain during intercourse, infertility","Pelvic exam, ultrasound, laparoscopy",Mild to severe,Long-term,"Painful periods, infertility history","Pain relievers, hormonal therapy","Genetics, high estrogen levels", Exposure to endocrine disruptors,Limited due to pain,Anti-inflammatory diet recommended,20-45 years,Stressful jobs can exacerbate symptoms,"Turmeric, ginger, flaxseeds","Ashoka, Guggulu, Shatavari",1 tsp turmeric and honey paste daily,1 tsp turmeric + 1 tsp ginger + 1 cup hot water (steep for 10 mins),Pitta-Kapha imbalance,Pitta predominant,"Warm, anti-inflammatory foods","Butterfly pose, gentle stretching","Surgery, hormonal therapy","Difficult, but early treatment helps","Infertility, chronic pain","Regular follow-ups, pain management",2,2
Menstrual Disorders,"Irregular cycles, severe cramps, excessive or no bleeding","Blood tests (hormone levels), ultrasound, menstrual tracking",Mild to severe,Varies based on type,"History of irregular cycles, hormonal imbalance","Painkillers, hormonal therapy","PCOS, thyroid disorders, stress","Lifestyle, diet, stress",Low to moderate,Nutrient-deficient diet worsens symptoms,12-50 years,Stress and sedentary lifestyle impact symptoms,"Ginger, turmeric, fennel seeds","Ashoka, Lodhra, Dashmool",1 tsp fennel seeds boiled in water daily,1 tsp fennel seeds + 1 tsp cinnamon + 1 cup hot water (steep for 10 mins),Pitta-Vata imbalance,Vata-Pitta predominant,"Warm foods, regular hydration","Childs pose, gentle stretching","Hormonal therapy, iron supplements","Balanced diet, stress management","Anemia, infertility","Regular menstrual tracking, healthy diet",3,2
Premenstrual Syndrome (PMS),"Mood swings, bloating, headaches, breast tenderness, fatigue","Symptom tracking, hormonal level tests",Mild to moderate,"Short-term, cyclic","History of hormonal fluctuations, stress","Pain relievers, hormonal therapy","Hormonal imbalance, high stress","Diet, lifestyle",Low to moderate,High sugar and processed foods worsen symptoms,15-45 years,Stress-related symptoms,"Chamomile, evening primrose oil","Shatavari, Brahmi, Ashwagandha",1 tsp flaxseeds + warm water daily,1 tsp chamomile + 1 tsp fennel + 1 cup hot water (steep 10 mins),Pitta-Vata imbalance,Vata-Pitta,"Hydration, stress management","Anulom Vilom, Pranayama","NSAIDs, hormonal therapy",Balanced lifestyle,"Mood disorders, anxiety","Maintain regular sleep, healthy diet",3,2
Uterine Fibroids,"Heavy menstrual bleeding, pelvic pain, frequent urination, backache","Ultrasound, MRI, Pelvic exam",Moderate to severe,Long-term management,"History of irregular periods, anemia","Hormonal therapy, NSAIDs","High estrogen levels, genetics, obesity",Exposure to xenoestrogens,Low to moderate,"Low-fiber, high-fat diet worsens symptoms",30-50 years,High-stress jobs can worsen symptoms,"Turmeric, green tea, flaxseeds","Ashoka, Triphala, Gokshura",1 tsp Triphala powder + warm water at night,1 tsp green tea + 1 tsp cinnamon + 1 cup hot water (steep for 10 mins),Pitta-Kapha imbalance,Pitta-Kapha,"High-fiber diet, stress reduction","Surya Namaskar, Baddha Konasana","Surgery, hormonal therapy",Maintaining healthy estrogen levels,"Anemia, fertility issues","Regular check-ups, iron-rich diet",1,4
Ovarian Cysts,"Pelvic pain, bloating, irregular periods, nausea","Ultrasound, hormone tests, pelvic exam",Mild to severe,Usually short-term unless recurrent,"PCOS, history of cysts","Pain relievers, birth control pills","Hormonal imbalance, endometriosis","Diet, lifestyle",Low to moderate,High-sugar diet worsens symptoms,15-45 years,Sedentary lifestyle increases risk,"Spearmint, flaxseeds, cinnamon","Ashoka, Lodhra, Gokshura",1 tsp flaxseed powder + warm water daily,1 tsp spearmint + 1 tsp cinnamon + 1 cup hot water (steep for 10 mins),Kapha-Pitta imbalance,Kapha-Pitta,"Low-carb diet, hydration","Butterfly pose, gentle stretching","Birth control, surgery in severe cases","Balanced diet, stress management","Infertility, pain","Regular check-ups, healthy diet",3,2
Menopause & Perimenopause ,"Hot flashes, night sweats, mood swings, fatigue, vaginal dryness","Hormone level tests, symptom tracking",Mild to severe,Long-term management,History of hormonal fluctuations,"Hormone replacement therapy (HRT), supplements","Aging, genetics, lifestyle","Stress, diet, exposure to toxins",Moderate,Low estrogen-supporting foods worsen symptoms,40-60 years,Sedentary lifestyle increases severity,"Black cohosh, soy, flaxseeds","Shatavari, Ashwagandha, Yashtimadhu",1 tsp Shatavari powder + warm milk before bedtime,1 tsp fennel + 1 tsp flaxseed + 1 cup hot water (steep for 10 mins),Vata-Pitta imbalance,Vata-Pitta,"Estrogen-rich foods, stress reduction","Pranayama, restorative yoga","HRT, lifestyle changes","Healthy aging, balanced hormones","Osteoporosis, cardiovascular risks","Hydration, relaxation, balanced diet",1,1
Hormonal Imbalances,"Fatigue, weight gain/loss, mood swings, irregular periods, acne","Blood tests for hormone levels, thyroid function tests",Mild to severe,Long-term management,"PCOS, thyroid disorders, menopause","Hormonal therapy, thyroid medications, supplements","Stress, poor diet, obesity, genetic predisposition","Endocrine disruptors, pollution, diet",Sedentary lifestyle increases risk,High sugar and processed food intake worsens symptoms,15-60 years,"High-stress jobs, sedentary lifestyle","Maca root, flaxseeds, ashwagandha","Shatavari, Ashwagandha, Triphala",1 tsp Ashwagandha powder + warm milk before bedtime,1 tsp spearmint + 1 tsp cinnamon + 1 cup hot water (steep for 10 mins),Vata-Pitta imbalance,Vata-Pitta,"Balanced meals, reduced sugar intake, stress management","Anulom Vilom, restorative yoga","Hormone therapy, lifestyle changes","Healthy diet, stress reduction, regular exercise","Increased risk of metabolic disorders, infertility","Hydration, relaxation, regular check-ups",1,1
Infertility & Reproductive Health ,"Irregular periods, difficulty conceiving, hormonal imbalance, pelvic pain","Ultrasound, blood hormone tests, hysterosalpingography (HSG)",Moderate to severe,Months to years depending on cause,"PCOS, endometriosis, thyroid disorders","Fertility drugs, hormone therapy","Age, obesity, smoking, excessive stress","Exposure to toxins, pesticides, poor diet",Sedentary or excessive exercise affects hormones,Poor nutrition affects reproductive health,20-45 years,"High-stress jobs, exposure to chemicals","Vitex, maca root, royal jelly","Shatavari, Ashwagandha, Gokshura",1 tsp Shatavari powder + honey + warm milk (daily),1 tsp fenugreek + 1 tsp cinnamon + 1 cup hot water (steep for 10 mins),Vata-Kapha imbalance,Vata-Kapha ,"Anti-inflammatory diet, stress reduction","Baddha Konasana, Viparita Karani","IVF, fertility treatments, hormonal therapy","Healthy diet, avoiding toxins, maintaining healthy weight","Increased risk of miscarriage, PCOS-related issues","Maintain healthy weight, stress reduction, regular check-ups",1,4
Gestational Diabetes,"Increased thirst, frequent urination, fatigue, high blood sugar levels","Glucose tolerance test, fasting blood sugar test",Moderate to severe,Throughout pregnancy,"Family history of diabetes, obesity",Insulin therapy if needed,"Obesity, previous gestational diabetes, high sugar intake","Diet, sedentary lifestyle, stress",Low physical activity increases risk,High sugar intake worsens symptoms,25-45 years (pregnant women),Sedentary work increases risk,"Bitter melon, fenugreek, cinnamon","Vijaysar, Gudmar, Methi",1 tsp fenugreek powder + warm water (before meals),1 tsp fenugreek + 1 tsp cinnamon + 1 cup hot water (steep for 10 mins),Kapha imbalance,Kapha ,"Low sugar diet, frequent small meals","Walking, prenatal yoga",Insulin therapy if necessary,"Healthy diet, weight management",Increased risk of Type 2 diabetes later in life,"Regular glucose monitoring, balanced diet, prenatal care",4,0
Preeclampsia & Eclampsia,"High blood pressure, swelling, protein in urine, headaches, blurred vision","Blood pressure monitoring, urine protein test, blood tests","Severe, can be life-threatening","Until delivery, postpartum monitoring","Hypertension, kidney disease, obesity","Blood pressure medications, magnesium sulfate","First pregnancy, multiple pregnancies, obesity","Poor diet, high salt intake, stress",Low activity worsens symptoms,"High salt, processed food intake",18-40 years (pregnant women),Sedentary or high-stress lifestyle,"Hibiscus tea, garlic, ginger","Ashwagandha, Shatavari, Arjuna",1 tsp Ashwagandha powder + warm milk before bedtime,Hibiscus tea(1 tsp ginger + 1 tsp hibiscus + 1 cup hot water (steep for 10 mins)),Pitta-Kapha imbalance,Pitta-Kapha,"Low-sodium diet, stress management, hydration","Prenatal yoga, breathing exercises","Blood pressure management, hospitalization if severe","Regular BP monitoring, healthy diet, exercise","Preterm birth, organ damage","Rest, stress reduction, regular medical check-ups",4,4
Miscarriage & Recurrent Pregnancy Loss,"Vaginal bleeding, severe cramps, back pain","Ultrasound, blood hormone tests",Severe,Depends on cause,"Previous miscarriages, PCOS, autoimmune disorders","Progesterone supplements, blood thinners (if needed)","Age, hormonal imbalance, infections","Exposure to toxins, high stress",Excessive or insufficient activity can contribute,"Poor nutrition, high caffeine intake",20-45 years,High-stress jobs may contribute,"Raspberry leaf tea, black cohosh, nettle leaf","Shatavari, Ashoka, Lodhra",1 tsp Shatavari powder + honey + warm milk (daily),1 tsp raspberry leaf + 1 tsp nettle leaf + 1 cup hot water (steep for 10 mins),Vata-Pitta imbalance,Vata-Pitta,"Balanced diet, stress reduction, adequate rest","Gentle prenatal yoga, meditation","Hormonal therapy, lifestyle changes","Proper prenatal care, avoiding toxins",Future pregnancy risks,"Rest, stress management, medical check-ups",2,3
Postpartum Depression & Anxiety,"Persistent sadness, mood swings, fatigue, difficulty bonding with baby, sleep disturbances","Edinburgh Postnatal Depression Scale (EPDS), Psychological evaluation",Mild to Severe,3-6 months (varies),"Previous depression or anxiety, stressful pregnancy, lack of social support","Antidepressants (if prescribed), herbal supplements","Hormonal fluctuations, sleep deprivation, history of mental health issues","Stressful home environment, lack of support",Low,"Poor nutrition, low omega-3 intake",20-40 years,"New mothers, housewives, working professionals","Ashwagandha, Brahmi, Shatavari","Ashwagandha, Jatamansi, Tulsi","Shatavari powder with milk (1 tsp daily), Ashwagandha tea",Chamomile tea (1 tsp dried chamomile in hot water),"Vata, Pitta",Vata-Pitta,"Adequate hydration, balanced meals, regular exercise","Pranayama, meditation, gentle yoga","Therapy, counseling, medication","Social support, proper rest, balanced diet","Chronic depression, difficulty in childcare","Support groups, relaxation techniques",2,3
Lactation Issues,"Low milk supply, engorgement, mastitis, nipple pain","Breast examination, milk supply monitoring",Mild to Moderate,Weeks to months,"Breast surgery, hormonal imbalances","Galactagogues, pain relievers","Stress, poor diet, hormonal issues",Lack of breastfeeding support,Low to moderate,"Inadequate hydration, poor nutrition",20-40 years,"New mothers, sedentary lifestyle","Fenugreek, fennel seeds, Shatavari","Shatavari, Methi (Fenugreek), Jeera (Cumin)",Shatavari powder with warm milk (1 tsp daily),Fenugreek tea (1 tsp fenugreek seeds in hot water),"Vata, Kapha",Vata-Kapha,"Hydration, lactation-friendly diet, frequent breastfeeding",Shoulder and chest opening exercises,"Lactation consultants, herbal galactagogues","Proper breastfeeding techniques, balanced diet","Mastitis, engorgement","Breast massage, warm compresses",3,2
Thyroid Disorders,"Fatigue, weight changes, hair loss, mood swings","TSH, T3, T4 blood tests",Mild to Severe,Lifelong management,"Autoimmune conditions, iodine deficiency","Levothyroxine, herbal supplements","Autoimmune diseases, iodine deficiency, pregnancy","Pollution, toxins",Low to moderate,"Low iodine intake, processed foods",20-60 years,"Sedentary, high stress","Ashwagandha, Kanchanar Guggulu","Kanchanar, Ashwagandha, Triphala",Kanchanar Guggulu decoction (1 tsp powder in warm water),Ashwagandha tea (1 tsp Ashwagandha powder in warm water),"Kapha, Vata",Kapha-Vata,"Iodine-rich foods, avoid goitrogens","Shoulder stand, breathing exercises","Hormonal therapy, lifestyle changes","Balanced diet, regular checkups","Goiter, heart issues","Regular exercise, stress management",3,0
Diabetes,"Frequent urination, excessive thirst, fatigue, blurred vision","Fasting blood sugar, HbA1c, glucose tolerance test",Mild to Severe,Lifelong management,"Family history of diabetes, obesity","Insulin, Metformin, herbal supplements","Obesity, sedentary lifestyle, poor diet","Urban lifestyle, processed food consumption",Low to moderate,"High sugar intake, low fiber diet",30-70 years,"Sedentary jobs, high stress","Bitter gourd, Jamun, Fenugreek","Gudmar, Vijaysar, Neem",Bitter gourd juice (30ml daily),"Cinnamon tea (1/2 tsp cinnamon powder, 1 cup hot water)","Kapha, Pitta",Kapha-Pitta,"Low sugar diet, regular physical activity","Kapalbhati, Surya Namaskar","Insulin therapy, oral hypoglycemics","Healthy diet, active lifestyle","Neuropathy, kidney disease","Regular blood sugar monitoring, exercise",5,0
Osteoporosis & Low Bone Density,"Fragile bones, back pain, stooped posture, frequent fractures","Bone density scan (DEXA), calcium and vitamin D levels",Moderate to Severe,Lifelong management,"Calcium or vitamin D deficiency, menopause, past fractures","Calcium, Vitamin D, bisphosphonates","Aging, menopause, poor nutrition","Indoor lifestyle, lack of sunlight",Low,"Low calcium intake, high caffeine consumption",40+ years,"Sedentary lifestyle, postmenopausal women","Sesame seeds, Ashwagandha, Shatavari","Hadjod, Arjuna, Ashwagandha",Hadjod decoction (1 tsp Hadjod powder in warm water),"Sesame seed tea (1 tsp sesame seeds, 1 cup hot water)","Vata, Pitta",Vata-Pitta,"High-calcium diet, weight-bearing exercises","Tadasana, Bhujangasana",Calcium and vitamin D supplementation,"Sun exposure, strength training","Fractures, reduced mobility","Bone health monitoring, active lifestyle",4,1
Obesity & Weight Management ,"Excess body fat, breathlessness, joint pain, fatigue","BMI measurement, body fat percentage, lipid profile",Mild to Severe,Long-term lifestyle management,"History of obesity, metabolic syndrome, diabetes","Weight loss medications, herbal supplements","Poor diet, lack of exercise, genetic predisposition","Sedentary lifestyle, processed food consumption",Low,"High-calorie intake, frequent snacking",15-60 years,"Sedentary jobs, lack of physical activity","Triphala, Guggulu, Green tea","Triphala, Guggulu, Punarnava",Triphala powder with warm water (1 tsp daily),"Ginger-Lemon tea (1 tsp grated ginger, 1 tsp lemon juice, 1 cup hot water)","Kapha, Pitta",Kapha-Pitta,"High-fiber diet, portion control, daily exercise","Surya Namaskar, Kapalbhati","Dietary counseling, weight management programs","Balanced diet, active lifestyle","Diabetes, heart disease, joint issues","Healthy eating habits, regular exercise",5,0
Hypertension,"Headache, dizziness, blurred vision, chest pain, nosebleeds, shortness of breath","Blood pressure measurement, lipid profile, ECG, kidney function tests",Mild to Severe,Lifelong management,"History of high blood pressure, cardiovascular disease, diabetes","Antihypertensive drugs, herbal supplements (Arjuna, Ashwagandha)","Obesity, high salt intake, smoking, stress, genetic predisposition","Sedentary lifestyle, air pollution, noise pollution",Low to moderate,"High sodium intake, processed food consumption",30+ years,"Sedentary jobs, high-stress environment","Arjuna, Brahmi, Garlic, Ashwagandha","Arjuna, Brahmi, Sarpagandha, Jatamansi",Arjuna powder with warm water (1 tsp daily),"Hibiscus tea (Dried hibiscus petals, warm water, honey)","Pitta, Vata",Pitta-Vata,"Low-sodium diet, increased potassium intake, regular exercise","Anulom-Vilom, Shavasana, Bhramari","Antihypertensive therapy, regular BP monitoring","Healthy diet, active lifestyle, stress management","Stroke, kidney damage, heart attack","Reduce salt intake, practice meditation",5,0
Heart Disease,"Chest pain, shortness of breath, fatigue, irregular heartbeat, swelling in legs","ECG, echocardiogram, cholesterol test, stress test, angiography",Mild to Severe,Lifelong management,"Hypertension, high cholesterol, diabetes, past heart attack","Beta-blockers, statins, blood thinners, herbal supplements","Smoking, high cholesterol, obesity, sedentary lifestyle, stress","Air pollution, poor air quality, high noise levels",Low,"High-fat, high-sugar diet, frequent processed food consumption",40+ years,"Sedentary jobs, stressful work environment","Arjuna, Garlic, Green tea","Arjuna, Guggulu, Brahmi, Ashwagandha","Arjuna tea (boil Arjuna bark in water, drink daily)","Arjuna-Green Tea (Arjuna bark powder, green tea leaves, warm water)","Pitta, Kapha",Pitta-Kapha,"Heart-healthy diet, fiber-rich foods, regular exercise","Pranayama, Surya Namaskar, Walking","Medication, angioplasty, bypass surgery","Healthy diet, exercise, stress management","Heart attack, stroke, heart failure","Avoid smoking, reduce cholesterol intake",5,0
Chronic Venous Insufficiency,"Leg swelling, varicose veins, heaviness in legs, skin discoloration, ulcers, itching","Doppler ultrasound, venography, ankle-brachial index",Mild to Severe,Long-term management,"Varicose veins, deep vein thrombosis (DVT), obesity, pregnancy","Compression therapy, diuretics, blood thinners, herbal supplements","Prolonged standing, obesity, smoking, pregnancy, aging","Sedentary lifestyle, poor circulation due to tight clothing",Low,"Low-fiber diet, excessive salt intake",40+ years,"Jobs requiring prolonged standing (teachers, nurses)","Horse chestnut, Gotu Kola, Triphala","Punarnava, Guggulu, Nirgundi",Triphala decoction for blood circulation,"Ginger-Turmeric tea (1 tsp grated ginger, ½ tsp turmeric, warm water)","Kapha, Pitta",Kapha-Pitta,"Low-salt diet, leg elevation, regular walking","Viparita Karani, Pawanmuktasana","Compression stockings, sclerotherapy, vein surgery","Regular movement, avoiding prolonged sitting/standing","Venous ulcers, blood clots, cellulitis","Wear compression stockings, keep legs elevated",5,0
